id,date,content
87,2022-09-09 10:17:53+00:00,"['hope', 'mourning', 'tomorrow', 'flying', 'tri', 'colour', 'half', 'mast', 'queens', 'death', 'arent', 'traitor', 'jaychand', 'savarkar', 'ki', 'aulad']"
88,2022-09-09 10:05:20+00:00,"['met', 'pmelect', 'uk', 'also', 'day']"
89,2022-09-09 09:53:35+00:00,"['rest', 'glory', 'majesty', 'queen', 'elizabeth', 'founder', 'secretary', 'general', 'nri', 'instituteconnecting', 'indian', 'diaspora', 'sardar', 'jagmohan', 'singh', 'early', 's', 'queenelizabethiimemorial', 'restinpeace', 'unitedkingdom', 'india', 'nrisoftheworld', 'nriinstitute', 'sfwuojg']"
90,2022-09-09 09:53:15+00:00,"['even', 'if', 'lets', 'say', 'soros', 'funds', 'regime', 'changes', 'change', 'semitic', 'anti', 'semitic', 'angle', 'it', 'queen', 'never', 'anti', 'semitic', 'anti', 'semitic', 'still', 'alive', 'ruling', 'like', 'moiji']"
91,2022-09-09 09:48:10+00:00,"['feeling', 'sorry', 'british', 'actor', 'alia', 'bhatt', 'first', 'queen', 'died', 'movie', 'boycottbrahamstra', 'brahmastrareview']"
92,2022-09-09 09:46:23+00:00,"['even', 'queen', 'elizabeth', 'waiting', 'king', ""'s"", 'st', 'century', 'game', 'skaewyhv']"
93,2022-09-09 09:45:53+00:00,"['work', 'way', 'talking', 'pure', 'arithmetic', 'considering', 'partisan', 'make', 'politics', 'uk', 'inc', 'bjp', 'aap', 'bjp', 'sprld', 'lot', 'bsp']"
94,2022-09-09 09:45:35+00:00,"['rip', 'sfcms']"
95,2022-09-09 09:43:08+00:00,"['same', 'uk', 'bjp', 'vote', 'share', 'up', 'big', 'politics', 'amp', 'asterix', 'always', 'vital', 'politics', 'remove', 'them', 'gujarat', 'one', 'best', 'performing', 'congress', 'units', 'india']"
96,2022-09-09 09:36:34+00:00,"['difference', 'nature', 'contests', 'uk', 'main', 'parties', 'bjp', 'ahead', 'even', 'inc', 'aap', 'main', 'parties', 'bjp', 'ahead', 'sp', 'rld', 'bsp']"
97,2022-09-09 09:34:11+00:00,"['say', 'aap', 'planted', 'uk', 'pro', 'sp', 'people', 'say', 'bsp', 'planted', 'up', 'point', 'fight', 'within', 'situation']"
98,2022-09-09 09:26:24+00:00,"['told', 'around', 'punjab', 'uk', 'elections', 'telling', 'now', 'note', 'above']"
99,2022-09-09 09:14:28+00:00,"['ii', 'long', 'remembered', 'dignity', 'decency', 'public', 'life', 'unwavering', 'commitment', 'sincere', 'condolences', 'queen', 'elizabeth', 'people', 'uk', 'everyone', 'around', 'world', 'mourning', 'demise', 'one', 'greatest', 'monarchs', 'time', 'condolenc', 'elizabethii']"
100,2022-09-09 09:14:27+00:00,"['deeply', 'pained', 'demise', 'hm', 'queen', 'elizabeth', 'ii', 'longestreigning', 'monarch', 'united', 'kingdom', 'reign', 'spanning', 'seven', 'decades', 'prime', 'ministers', 'several', 'major', 'turning', 'points', 'modern', 'history', 'second', 'elizabethan', 'era', 'come', 'end', 'queen', 'elizabeth']"
101,2022-09-09 09:03:23+00:00,"['twitter', 'friend', 'obsd', 'previous', 'tweet', 'theres', 'hope', 'yet', 'dear', 'year', 'clown', 'prince', 'ruling', 'family', 'kingdom', 'congress', 'keep', 'going', 'charlie', 'example', 'full', 'two', 'decades', 'make', 'it', 'sadly', 'vadra', 'jijajis', 'race', 'skbtwcy']"
